This file contains all winter wheat cultivars used by Phenology MMS. The format is
      as follows:

*** 
<Variety name>
GDD,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
GDDstress,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
LVS,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
LVSstress,<StoE>,<EtoFirstT>,<JantoSR>,<SRtoDR>,<DRtoTS>,<TStoJ>,<JtoFLC>,<FLCtoH>,<HtoAS>,<AStoM>,<MtoHR>
THREE ***  THE DATA BEGINS BELOW THIS LINE!!!


The data will be read after the line that contains 3 asterisks (***), which separates
each variety.

The line following the 3 asterisks line gives the variety name.

The next four lines give either the unstressed growing degree-days (first line), stressed
growing degree-days (second line), unstressed number of leaves (third line), or stressed
number of leaves (fourth line) for each of the intervals.

Each variety is separated by three asterisks.  

Type: HRW = Hard Red Winter; HWW = Hard White Winter
Maturity: EM = Early (1,2,3); MM = Medium (4,5,6); LM = Late (7,8,9)
Height: S = Short (1,2,3); M = Medium (4,5,6); T = Tall (7,8,9)     


LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.3, 1.2
***
Halt
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  725, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  520, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 6.9, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.0, 1.2
***
Heyne
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  710, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  570, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 6.8, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.4, 1.2
***
Jagger
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  715, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  530, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 6.8, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.0, 1.2
***
Larned
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  750, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  555, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.1, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.3, 1.2
***
Norstar
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  740, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  530, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.0, 1.2
***
Prowers 99
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  815, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  590, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.8, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.6, 1.2
***
Scout 66
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  750, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  555, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.1, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.3, 1.2
***
Siouxland
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  750, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  550, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.1, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.2, 1.2
***
TAM 107
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  740, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  560, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.0, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.3, 1.2
***
Yumar
GDD,       100, 200, 180, 125, 150, 30, 160, 145, 160,  750, 200
GDDstress, 150, 200, 180, 125, 145, 30, 150, 125, 130,  600, 125
LVS,       1.0, 1.9, 1.7, 1.2, 1.4, 0.3, 1.5, 1.4, 1.5, 7.1, 1.9
LVSstress, 1.5, 1.9, 1.7, 1.2, 1.4, 0.3, 1.4, 1.2, 1.2, 5.7, 1.2
***
